LowBirthWeightIndLowBirthWeightIndDesc,BirthAgeGroupAgeGroupDesc,YearBirthYearDesc,CountyCountyName,BirthCount,Birth Count_PCT,SORT
Low birth weight (<2500g),Less than 15,2006,Adams,0,0.0,0
Low birth weight (<2500g),15 to 17,2006,Adams,3,0.8,1
Low birth weight (<2500g),18 to 19,2006,Adams,2,0.6,2
Low birth weight (<2500g),20 to 24,2006,Adams,12,3.3,3
Low birth weight (<2500g),25 to 29,2006,Adams,4,1.1,4
Low birth weight (<2500g),30 to 34,2006,Adams,2,0.6,5
Low birth weight (<2500g),35 to 39,2006,Adams,3,0.8,6
Low birth weight (<2500g),40 to 44,2006,Adams,*,*,7
Low birth weight (<2500g),45 and older,2006,Adams,0,0.0,8
Normal birth weight (2500g+),Less than 15,2006,Adams,0,0.0,10
Normal birth weight (2500g+),15 to 17,2006,Adams,*,*,11
Normal birth weight (2500g+),18 to 19,2006,Adams,28,7.7,12
Normal birth weight (2500g+),20 to 24,2006,Adams,126,34.8,13
Normal birth weight (2500g+),25 to 29,2006,Adams,85,23.5,14
Normal birth weight (2500g+),30 to 34,2006,Adams,61,16.9,15
Normal birth weight (2500g+),35 to 39,2006,Adams,*,*,16
Normal birth weight (2500g+),40 to 44,2006,Adams,*,*,17
Normal birth weight (2500g+),45 and older,2006,Adams,0,0.0,18
Low birth weight (<2500g),Less than 15,2006,Allen,0,0.0,30
Low birth weight (<2500g),15 to 17,2006,Allen,2,0.1,31
Low birth weight (<2500g),18 to 19,2006,Allen,18,1.3,32
Low birth weight (<2500g),20 to 24,2006,Allen,43,3.0,33
Low birth weight (<2500g),25 to 29,2006,Allen,32,2.2,34
Low birth weight (<2500g),30 to 34,2006,Allen,19,1.3,35
Low birth weight (<2500g),35 to 39,2006,Allen,13,0.9,36
Low birth weight (<2500g),40 to 44,2006,Allen,3,0.2,37
Low birth weight (<2500g),45 and older,2006,Allen,0,0.0,38
Normal birth weight (2500g+),Less than 15,2006,Allen,*,*,40
Normal birth weight (2500g+),15 to 17,2006,Allen,58,4.1,41
Normal birth weight (2500g+),18 to 19,2006,Allen,121,8.5,42
Normal birth weight (2500g+),20 to 24,2006,Allen,428,30.0,43
Normal birth weight (2500g+),25 to 29,2006,Allen,370,25.9,44
Normal birth weight (2500g+),30 to 34,2006,Allen,214,15.0,45
Normal birth weight (2500g+),35 to 39,2006,Allen,90,6.3,46
Normal birth weight (2500g+),40 to 44,2006,Allen,*,*,47
Normal birth weight (2500g+),45 and older,2006,Allen,0,0.0,48
Low birth weight (<2500g),Less than 15,2006,Ashland,0,0.0,60
Low birth weight (<2500g),15 to 17,2006,Ashland,0,0.0,61
Low birth weight (<2500g),18 to 19,2006,Ashland,5,0.7,62
Low birth weight (<2500g),20 to 24,2006,Ashland,23,3.3,63
Low birth weight (<2500g),25 to 29,2006,Ashland,14,2.0,64
Low birth weight (<2500g),30 to 34,2006,Ashland,7,1.0,65
Low birth weight (<2500g),35 to 39,2006,Ashland,5,0.7,66
Low birth weight (<2500g),40 to 44,2006,Ashland,2,0.3,67
Low birth weight (<2500g),45 and older,2006,Ashland,0,0.0,68
Normal birth weight (2500g+),Less than 15,2006,Ashland,0,0.0,70
Normal birth weight (2500g+),15 to 17,2006,Ashland,*,*,71
Normal birth weight (2500g+),18 to 19,2006,Ashland,31,4.4,72
Normal birth weight (2500g+),20 to 24,2006,Ashland,200,28.7,73
Normal birth weight (2500g+),25 to 29,2006,Ashland,209,30.0,74
Normal birth weight (2500g+),30 to 34,2006,Ashland,130,18.7,75
